Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,"City of Ashland, KY",20987,51,1,16,11,23,885,146,704,35
NA,Total area actually reporting,0.837,900,6,137,169,588,NA,NA,5159,NA
NA,Estimated total,1,1048,8,158,180,702,NA,NA,5867,NA
NA,"Rate per 100,000 inhabitants",NA,291.6,2.2,44,50.1,195.3,NA,NA,1632.4,NA
"Huntsville, AL M.S.A.",NA,448973,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Limestone and Madison Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Huntsville,192587,1787,18,152,414,1203,9398,1692,6812,894
NA,Total area actually reporting,1,2501,22,239,505,1735,14340,2733,10350,1257
NA,"Rate per 100,000 inhabitants",NA,557,4.9,53.2,112.5,386.4,3194,608.7,2305.3,280
"Idaho Falls, ID M.S.A.",NA,141859,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bonneville, Butte, and Jefferson Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Idaho Falls,59615,253,1,33,13,206,1367,370,904,93
NA,Total area actually reporting,1,425,1,48,18,358,2226,599,1491,136
NA,"Rate per 100,000 inhabitants",NA,299.6,0.7,33.8,12.7,252.4,1569.2,422.3,1051,95.9
"Indianapolis-Carmel-Anderson, IN M.S.A.",NA,2004800,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Indianapolis,866351,11907,148,684,3976,7099,41540,10209,26335,4996
NA,City of Carmel,90619,25,0,13,7,5,803,58,706,39
NA,City of Anderson,55134,240,6,63,92,79,2294,497,1614,183
NA,Total area actually reporting,0.824,13615,173,871,4261,8310,57721,12253,39210,6258
NA,Estimated total,1,14302,184,939,4388,8791,64291,13334,44161,6796
NA,"Rate per 100,000 inhabitants",NA,713.4,9.2,46.8,218.9,438.5,3206.9,665.1,2202.8,339
"Iowa City, IA M.S.A.",NA,169088,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Johnson and Washington Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Iowa City,75527,197,0,39,43,115,1551,294,1169,88
NA,Total area actually reporting,1,493,0,123,71,299,2921,528,2261,132
NA,"Rate per 100,000 inhabitants",NA,291.6,0,72.7,42,176.8,1727.5,312.3,1337.2,78.1
"Jackson, MI M.S.A.",NA,159287,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Jackson County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Jackson,33060,409,4,65,49,291,1504,287,1159,58
NA,Total area actually reporting,0.987,843,9,142,74,618,3489,642,2678,169
NA,Estimated total,1,849,9,143,75,622,3528,648,2708,172
NA,"Rate per 100,000 inhabitants",NA,533,5.7,89.8,47.1,390.5,2214.9,406.8,1700.1,108
"Jackson, TN M.S.A.",NA,129606,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Chester, Crockett, and Madison Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Jackson,66990,628,7,36,108,477,2947,650,2170,127
NA,Total area actually reporting,1,843,7,45,114,677,3939,1028,2709,202
NA,"Rate per 100,000 inhabitants",NA,650.4,5.4,34.7,88,522.4,3039.2,793.2,2090.2,155.9
"Jacksonville, FL M.S.A.",NA,1473678,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Jacksonville,880557,5504,106,517,1463,3418,31538,5851,22660,3027
NA,Total area actually reporting,1,7058,125,697,1681,4555,42653,8196,30834,3623
NA,"Rate per 100,000 inhabitants",NA,478.9,8.5,47.3,114.1,309.1,2894.3,556.2,2092.3,245.8
"Janesville-Beloit, WI M.S.A.",NA,161430,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Rock County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Janesville,64234,145,0,28,31,86,1763,238,1474,51
NA,City of Beloit,36878,175,2,17,57,99,1124,149,940,35
NA,Total area actually reporting,1,370,3,57,90,220,3570,558,2885,127
NA,"Rate per 100,000 inhabitants",NA,229.2,1.9,35.3,55.8,136.3,2211.5,345.7,1787.2,78.7
"Jefferson City, MO M.S.A.",NA,151164,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Callaway, Cole, Moniteau, and Osage Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Jefferson City,43171,174,4,9,35,126,1318,179,1085,54
NA,Total area actually reporting,1,445,7,33,60,345,2855,604,2094,157
NA,"Rate per 100,000 inhabitants",NA,294.4,4.6,21.8,39.7,228.2,1888.7,399.6,1385.3,103.9
"Johnson City, TN M.S.A.",NA,200977,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Carter, Unicoi, and Washington Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Johnson City,66511,263,4,25,38,196,2488,392,1977,119
NA,Total area actually reporting,1,585,5,48,65,467,4662,846,3557,259
NA,"Rate per 100,000 inhabitants",NA,291.1,2.5,23.9,32.3,232.4,2319.7,420.9,1769.9,128.9
"Johnstown, PA M.S.A.",NA,134652,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cambria County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Johnstown,21227,100,5,2,20,73,633,198,416,19
NA,Total area actually reporting,0.98,210,7,15,31,157,1807,383,1379,45
NA,Estimated total,1,214,7,15,32,160,1848,388,1413,47
NA,"Rate per 100,000 inhabitants",NA,158.9,5.2,11.1,23.8,118.8,1372.4,288.2,1049.4,34.9
"Jonesboro, AR M.S.A.",NA,129793,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Craighead and Poinsett Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Jonesboro,75230,387,5,35,72,275,3369,1528,1727,114
NA,Total area actually reporting,1,541,7,87,80,367,4662,1849,2626,187
NA,"Rate per 100,000 inhabitants",NA,416.8,5.4,67,61.6,282.8,3591.9,1424.6,2023.2,144.1
"Joplin, MO M.S.A.4",NA,177228,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Jasper and Newton4 Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Joplin,52001,329,2,52,72,203,3779,569,2895,315
NA,Total area actually reporting,1,NA,7,94,100,NA,7163,1148,5400,615
NA,"Rate per 100,000 inhabitants",NA,NA,3.9,53,56.4,NA,4041.7,647.8,3046.9,347
"Kahului-Wailuku-Lahaina, HI M.S.A.",NA,164771,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kalawao and Maui Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,450,5,77,68,300,5741,978,4046,717
NA,"Rate per 100,000 inhabitants",NA,273.1,3,46.7,41.3,182.1,3484.2,593.6,2455.5,435.1
"Kalamazoo-Portage, MI M.S.A.",NA,336919,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kalamazoo and Van Buren Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Kalamazoo,76389,925,7,125,182,611,3221,755,2228,238
NA,City of Portage,48550,103,0,31,15,57,1289,149,1117,23
NA,Total area actually reporting,1,1776,22,368,264,1122,9038,1966,6579,493
NA,"Rate per 100,000 inhabitants",NA,527.1,6.5,109.2,78.4,333,2682.5,583.5,1952.7,146.3
"Kankakee, IL M.S.A.",NA,109833,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kankakee County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Kankakee,26509,203,5,26,74,98,1098,251,786,61
NA,Total area actually reporting,0.867,311,10,33,97,171,2382,509,1768,105
NA,Estimated total,1,341,10,37,106,188,2630,548,1964,118
NA,"Rate per 100,000 inhabitants",NA,310.5,9.1,33.7,96.5,171.2,2394.5,498.9,1788.2,107.4
"Kennewick-Richland, WA M.S.A.",NA,285194,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Benton and Franklin Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Kennewick,79837,183,1,31,37,114,2254,295,1772,187
NA,City of Richland,55475,101,1,20,11,69,1344,174,1092,78
NA,Total area actually reporting,1,551,5,99,91,356,6202,1069,4602,531
NA,"Rate per 100,000 inhabitants",NA,193.2,1.8,34.7,31.9,124.8,2174.7,374.8,1613.6,186.2
"Killeen-Temple, TX M.S.A.2",NA,434470,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bell, Coryell, and Lampasas Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Killeen,143248,996,16,129,234,617,3946,1124,2471,351
NA,City of Temple,73411,226,7,34,89,96,2298,493,1620,185
NA,Total area actually reporting,0.993,1673,27,242,410,994,10468,2458,7290,720
NA,Estimated total,1,1681,27,243,412,999,10542,2470,7347,725
NA,"Rate per 100,000 inhabitants",NA,386.9,6.2,55.9,94.8,229.9,2426.4,568.5,1691,166.9
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",NA,306101,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Kingsport, TN",53059,369,1,18,71,279,2501,374,1973,154
NA,"City of Bristol, TN",26656,158,1,14,14,129,900,134,670,96
NA,"City of Bristol, VA",16908,37,1,9,7,20,432,56,338,38
NA,Total area actually reporting,1,1124,8,125,119,872,7135,1294,5236,605
NA,"Rate per 100,000 inhabitants",NA,367.2,2.6,40.8,38.9,284.9,2330.9,422.7,1710.5,197.6
"Kingston, NY M.S.A.",NA,178502,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Ulster County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Kingston,23360,76,0,10,23,43,484,57,418,9
NA,Total area actually reporting,1,292,4,72,36,180,2336,393,1878,65
NA,"Rate per 100,000 inhabitants",NA,163.6,2.2,40.3,20.2,100.8,1308.7,220.2,1052.1,36.4
"Knoxville, TN M.S.A.",NA,866010,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Anderson, Blount, Campbell, Grainger, Knox, Loudon, Morgan, Roane, and Union Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Knoxville,186583,1672,18,157,404,1093,10324,1840,7620,864
NA,Total area actually reporting,1,3892,37,296,610,2949,23900,5043,16881,1976
NA,"Rate per 100,000 inhabitants",NA,449.4,4.3,34.2,70.4,340.5,2759.8,582.3,1949.3,228.2
"Kokomo, IN M.S.A.",NA,82350,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Howard County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Kokomo,57984,441,4,30,84,323,1760,476,1196,88
NA,Total area actually reporting,0.987,519,6,36,92,385,2046,587,1350,109
NA,Estimated total,1,522,6,36,93,387,2077,591,1375,111
NA,"Rate per 100,000 inhabitants",NA,633.9,7.3,43.7,112.9,469.9,2522.2,717.7,1669.7,134.8
"La Crosse-Onalaska, WI-MN M.S.A.",NA,137403,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Houston County, MN and La Crosse County, WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of La Crosse, WI",52498,131,1,32,23,75,2290,319,1905,66
NA,"City of Onalaska, WI",18600,13,0,6,0,7,508,60,443,5
NA,Total area actually reporting,1,186,1,41,23,121,3374,482,2800,92
NA,"Rate per 100,000 inhabitants",NA,135.4,0.7,29.8,16.7,88.1,2455.6,350.8,2037.8,67
"Lafayette, LA M.S.A.3",NA,493575,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Acadia, Iberia,3 Lafayette, St. Martin, and Vermilion Parishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lafayette,128923,641,11,19,148,463,6417,1025,5013,379
NA,Total area actually reporting,0.974,1830,45,58,351,1376,NA,3299,10056,NA
NA,Estimated total,1,1887,46,62,360,1419,NA,3382,10432,NA
NA,"Rate per 100,000 inhabitants",NA,382.3,9.3,12.6,72.9,287.5,NA,685.2,2113.6,NA
"Lafayette-West Lafayette, IN M.S.A.",NA,216480,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Benton, Carroll, and Tippecanoe Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lafayette,71562,360,2,35,109,214,3016,612,2217,187
NA,City of West Lafayette,46284,57,0,10,10,37,452,71,360,21
NA,Total area actually reporting,0.871,491,2,65,127,297,4401,897,3253,251
NA,Estimated total,1,536,3,70,134,329,4799,980,3532,287
NA,"Rate per 100,000 inhabitants",NA,247.6,1.4,32.3,61.9,152,2216.8,452.7,1631.6,132.6
"Lake Charles, LA M.S.A.",NA,206047,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Calcasieu and Cameron Parishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lake Charles,76864,654,8,40,143,463,3153,1626,1320,207
NA,Total area actually reporting,1,1357,14,103,192,1048,8754,3142,5063,549
NA,"Rate per 100,000 inhabitants",NA,658.6,6.8,50,93.2,508.6,4248.5,1524.9,2457.2,266.4
"Lakeland-Winter Haven, FL M.S.A.",NA,661218,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Polk County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lakeland,105766,337,4,89,104,140,5111,751,4050,310
NA,City of Winter Haven,38488,196,2,10,33,151,1339,238,1021,80
NA,Total area actually reporting,1,2199,26,258,350,1565,15567,3214,11201,1152
NA,"Rate per 100,000 inhabitants",NA,332.6,3.9,39,52.9,236.7,2354.3,486.1,1694,174.2
"Lancaster, PA M.S.A.",NA,538376,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lancaster County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lancaster,59340,487,4,92,164,227,2164,255,1828,81
NA,Total area actually reporting,1,944,8,180,270,486,7411,1029,6143,239
NA,"Rate per 100,000 inhabitants",NA,175.3,1.5,33.4,50.2,90.3,1376.5,191.1,1141,44.4
"Lansing-East Lansing, MI M.S.A.",NA,473685,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Clinton, Eaton, and Ingham Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lansing,115199,1341,9,142,260,930,3325,897,2053,375
NA,City of East Lansing,48451,115,0,43,24,48,719,124,488,107
NA,Total area actually reporting,1,2172,16,432,354,1370,8730,1791,6232,707
NA,"Rate per 100,000 inhabitants",NA,458.5,3.4,91.2,74.7,289.2,1843,378.1,1315.6,149.3
"Laredo, TX M.S.A.",NA,272746,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Webb County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Laredo,259325,940,12,148,160,620,7890,1015,6646,229
NA,Total area actually reporting,1,986,12,153,165,656,8188,1116,6837,235
NA,"Rate per 100,000 inhabitants",NA,361.5,4.4,56.1,60.5,240.5,3002.1,409.2,2506.7,86.2
"Las Cruces, NM M.S.A.",NA,214233,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Dona Ana County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Las Cruces,102349,251,5,41,51,154,4788,830,3697,261
NA,Total area actually reporting,0.957,496,11,92,62,331,6049,1226,4447,376
NA,Estimated total,1,542,11,96,66,369,6357,1287,4652,418
NA,"Rate per 100,000 inhabitants",NA,253,5.1,44.8,30.8,172.2,2967.3,600.7,2171.5,195.1
"Las Vegas-Henderson-Paradise, NV M.S.A.",NA,2155946,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Clark County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Las Vegas Metropolitan Police Department,1592178,13520,158,1200,4974,7188,46e3,12500,24645,8855
NA,City of Henderson,291584,617,10,94,235,278,5484,1237,3617,630
NA,Total area actually reporting,1,16622,194,1420,5781,9227,58811,15522,32417,10872
NA,"Rate per 100,000 inhabitants",NA,771,9,65.9,268.1,428,2727.9,720,1503.6,504.3
"Lawton, OK M.S.A.",NA,129814,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Comanche and Cotton Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lawton,96420,781,4,69,110,598,3691,1151,2318,222
NA,Total area actually reporting,0.991,813,4,75,112,622,4125,1303,2556,266
NA,Estimated total,1,815,4,75,112,624,4155,1309,2577,269
NA,"Rate per 100,000 inhabitants",NA,627.8,3.1,57.8,86.3,480.7,3200.7,1008.4,1985.1,207.2
"Lebanon, PA M.S.A.",NA,137357,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lebanon County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lebanon,25549,60,1,3,16,40,619,129,441,49
NA,Total area actually reporting,0.959,203,3,13,36,151,1942,307,1546,89
NA,Estimated total,1,212,3,14,38,157,2028,318,1618,92
NA,"Rate per 100,000 inhabitants",NA,154.3,2.2,10.2,27.7,114.3,1476.4,231.5,1178,67
"Lewiston, ID-WA M.S.A.",NA,62714,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Nez Perce County, ID and Asotin County, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Lewiston, ID",32665,46,0,14,3,29,1330,366,883,81
NA,Total area actually reporting,1,95,1,25,6,63,2189,507,1562,120
NA,"Rate per 100,000 inhabitants",NA,151.5,1.6,39.9,9.6,100.5,3490.4,808.4,2490.7,191.3
"Lewiston-Auburn, ME M.S.A.",NA,107279,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Androscoggin County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lewiston,36126,64,0,14,18,32,718,140,529,49
NA,City of Auburn,22836,43,0,14,7,22,730,66,649,15
NA,Total area actually reporting,1,146,0,37,30,79,1825,308,1437,80
NA,"Rate per 100,000 inhabitants",NA,136.1,0,34.5,28,73.6,1701.2,287.1,1339.5,74.6
"Lexington-Fayette, KY M.S.A.",NA,505664,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lexington,317853,1079,24,200,575,280,13058,2435,9465,1158
NA,Total area actually reporting,1,1335,25,262,667,381,18168,3439,13293,1436
NA,"Rate per 100,000 inhabitants",NA,264,4.9,51.8,131.9,75.3,3592.9,680.1,2628.8,284
"Lima, OH M.S.A.",NA,103900,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Allen County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lima,37715,356,8,44,123,181,2259,602,1540,117
NA,Total area actually reporting,0.967,400,8,55,141,196,3652,894,2599,159
NA,Estimated total,1,405,8,56,143,198,3729,907,2660,162
NA,"Rate per 100,000 inhabitants",NA,389.8,7.7,53.9,137.6,190.6,3589,873,2560.2,155.9
"Lincoln, NE M.S.A.",NA,327353,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lancaster and Seward Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lincoln,281138,1006,10,222,191,583,8730,1261,7117,352
NA,Total area actually reporting,0.994,1052,10,244,192,606,9202,1345,7477,380
NA,Estimated total,1,1055,10,245,192,608,9244,1349,7511,384
NA,"Rate per 100,000 inhabitants",NA,322.3,3.1,74.8,58.7,185.7,2823.9,412.1,2294.5,117.3
"Little Rock-North Little Rock-Conway, AR M.S.A.4",NA,737086,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Little Rock,198800,3044,42,159,657,2186,13714,2348,10223,1143
NA,City of North Little Rock,67344,503,11,11,115,366,2926,523,2016,387
NA,City of Conway,66104,335,5,43,84,203,2970,343,2429,198
NA,Total area actually reporting,1,5602,74,437,1008,4083,NA,NA,22971,2798
NA,"Rate per 100,000 inhabitants",NA,760,10,59.3,136.8,553.9,NA,NA,3116.5,379.6
"Logan, UT-ID M.S.A.",NA,135889,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Franklin County, ID and Cache County, UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Logan, UT",50767,50,1,12,5,32,844,120,685,39
NA,Total area actually reporting,1,90,2,35,8,45,1481,243,1155,83
NA,"Rate per 100,000 inhabitants",NA,66.2,1.5,25.8,5.9,33.1,1089.9,178.8,850,61.1
"Longview, WA M.S.A.",NA,104085,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cowlitz County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Longview,36854,142,0,41,40,61,1927,409,1314,204
NA,Total area actually reporting,1,279,2,68,58,151,3448,712,2376,360
NA,"Rate per 100,000 inhabitants",NA,268.1,1.9,65.3,55.7,145.1,3312.7,684.1,2282.7,345.9
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",NA,13350144,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Los Angeles,4007905,28817,293,2343,10307,15874,99151,15821,64739,18591
NA,City of Long Beach,476476,2846,33,197,1138,1478,14224,2988,8377,2859
NA,City of Anaheim,353504,1209,7,123,390,689,9617,1469,6764,1384
NA,City of Santa Ana,337419,1612,23,142,511,936,6980,1119,3913,1948
NA,City of Irvine,266663,152,3,41,52,56,3737,640,2918,179
NA,City of Glendale,202903,227,1,38,84,104,3450,596,2491,363
NA,City of Torrance,149078,258,1,28,119,110,3221,458,2326,437
NA,City of Pasadena,143288,477,2,46,164,265,3446,861,2261,324
NA,City of Orange,141841,228,1,25,57,145,2608,464,1783,361
NA,City of Costa Mesa,113816,412,1,60,145,206,4610,735,3296,579
NA,City of Burbank,105720,210,0,24,50,136,2927,392,2269,266
NA,City of Carson,93613,505,10,23,165,307,2424,439,1463,522
NA,City of Santa Monica,93921,475,2,40,189,244,4039,623,3180,236
NA,City of Newport Beach,87482,110,1,34,17,58,2241,437,1644,160
NA,City of Tustin,81642,120,2,13,34,71,1806,229,1412,165
NA,City of Monterey Park,61710,131,1,8,59,63,1704,460,998,246
NA,City of Gardena,60770,338,3,24,160,151,1482,355,772,355
NA,City of Arcadia,58816,83,2,4,44,33,1642,520,1045,77
NA,City of Fountain Valley,57291,63,0,0,21,42,1443,246,1072,125
NA,Total area actually reporting,1,63646,679,4968,22288,35711,318559,58004,204522,56033
NA,"Rate per 100,000 inhabitants",NA,476.7,5.1,37.2,166.9,267.5,2386.2,434.5,1532,419.7
"Anaheim-Santa Ana-Irvine, CA M.D.",NA,3179276,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Orange County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,7275,57,810,2136,4272,66054,11025,46507,8522
NA,"Rate per 100,000 inhabitants",NA,228.8,1.8,25.5,67.2,134.4,2077.6,346.8,1462.8,268
"Los Angeles-Long Beach-Glendale, CA M.D.",NA,10170868,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Los Angeles County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,56371,622,4158,20152,31439,252505,46979,158015,47511
NA,"Rate per 100,000 inhabitants",NA,554.2,6.1,40.9,198.1,309.1,2482.6,461.9,1553.6,467.1
"Louisville/Jefferson County, KY-IN M.S.A.",NA,1285169,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Clark, Floyd, Harrison, Scott, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, Spencer, and Trimble Counties, KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Louisville Metro, KY",683825,4621,119,196,1514,2792,30254,5907,19983,4364
NA,Total area actually reporting,0.942,5502,131,291,1787,3293,42026,7908,28544,5574
NA,Estimated total,1,5627,134,305,1807,3381,43168,8132,29361,5675
NA,"Rate per 100,000 inhabitants",NA,437.8,10.4,23.7,140.6,263.1,3358.9,632.8,2284.6,441.6
"Lubbock, TX M.S.A.2",NA,314167,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Crosby, Lubbock, and Lynn Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lubbock,252900,2741,6,177,471,2087,12661,2678,8933,1050
NA,Total area actually reporting,0.988,2894,9,200,488,2197,14117,2983,9980,1154
NA,Estimated total,1,2904,9,202,490,2203,14210,2998,10051,1161
NA,"Rate per 100,000 inhabitants",NA,924.3,2.9,64.3,156,701.2,4523.1,954.3,3199.3,369.5
"Lynchburg, VA M.S.A.",NA,259926,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Lynchburg,80215,298,2,33,57,206,1802,262,1428,112
NA,Total area actually reporting,1,530,12,83,78,357,3739,546,2995,198
NA,"Rate per 100,000 inhabitants",NA,203.9,4.6,31.9,30,137.3,1438.5,210.1,1152.3,76.2
"Macon-Bibb County, GA M.S.A.",NA,229434,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.996,872,18,61,279,514,9457,2289,6452,716
NA,Estimated total,1,876,18,61,280,517,9496,2295,6482,719
NA,"Rate per 100,000 inhabitants",NA,381.8,7.8,26.6,122,225.3,4138.9,1000.3,2825.2,313.4
"Madera, CA M.S.A.",NA,154726,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Madera County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Madera,64753,505,3,22,98,382,1859,297,1262,300
NA,Total area actually reporting,1,1024,7,51,124,842,3705,978,2155,572
NA,"Rate per 100,000 inhabitants",NA,661.8,4.5,33,80.1,544.2,2394.6,632.1,1392.8,369.7
"Madison, WI M.S.A.2",NA,647587,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Columbia, Dane, Green, and Iowa Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Madison,252136,832,8,125,235,464,6932,1014,5544,374
NA,Total area actually reporting,0.988,1304,13,198,309,784,12263,1720,9959,584
NA,Estimated total,1,1313,13,199,311,790,12406,1736,10080,590
NA,"Rate per 100,000 inhabitants",NA,202.8,2,30.7,48,122,1915.7,268.1,1556.5,91.1
"Manchester-Nashua, NH M.S.A.",NA,408233,NA,NA,NA,NA,NA,NA,NA,NA,NA
